panel,method,state,angle_deg,value
EOM-CCSD,EOM-CCSD,A_2,114.0,13.347280979918036
EOM-CCSD,EOM-CCSD,A_2,118.0,13.385961323277993
EOM-CCSD,EOM-CCSD,A_2,122.0,13.41460040932615
EOM-CCSD,EOM-CCSD,A_2,126.0,13.43457128107426
EOM-CCSD,EOM-CCSD,A_2,130.0,13.447015548694058
EOM-CCSD,EOM-CCSD,A_2,134.0,13.45285075019723
EOM-CCSD,EOM-CCSD,A_2,138.0,13.452821051690282
EOM-CCSD,EOM-CCSD,A_2,142.0,13.447558263465902
EOM-CCSD,EOM-CCSD,A_2,146.0,13.43758184272411
"CAS(8,6)","CAS(8,6)",A_1,90.0,14.160255491100001
"CAS(8,6)","CAS(8,6)",A_1,94.0,14.242265996100002
"CAS(8,6)","CAS(8,6)",A_1,98.0,14.242046419499998
"CAS(8,6)","CAS(8,6)",A_1,102.0,14.1899368857
"CAS(8,6)","CAS(8,6)",A_1,106.0,14.1044178564
"CAS(8,6)","CAS(8,6)",A_1,110.0,13.9963629323
"CAS(8,6)","CAS(8,6)",A_1,114.0,13.8719980833
"CAS(8,6)","CAS(8,6)",A_1,118.0,13.7347447348
"CAS(8,6)","CAS(8,6)",A_1,122.0,13.586327056
"CAS(8,6)","CAS(8,6)",A_1,126.0,13.4274443698
"CAS(8,6)","CAS(8,6)",A_1,130.0,13.2582008376
"CAS(8,6)","CAS(8,6)",A_1,134.0,13.0784074482
"CAS(8,6)","CAS(8,6)",A_1,138.0,12.887824701
"CAS(8,6)","CAS(8,6)",A_1,142.0,12.6863868963
"CAS(8,6)","CAS(8,6)",A_1,146.0,12.4744848057
"CAS(8,6)","CAS(8,6)",B_2,90.0,12.71429757
"CAS(8,6)","CAS(8,6)",B_2,94.0,13.0626021145
"CAS(8,6)","CAS(8,6)",B_2,98.0,13.3461165
"CAS(8,6)","CAS(8,6)",B_2,102.0,13.5768297315
"CAS(8,6)","CAS(8,6)",B_2,106.0,13.7639578349
"CAS(8,6)","CAS(8,6)",B_2,110.0,13.914582362099999
"CAS(8,6)","CAS(8,6)",B_2,114.0,14.034091017299998
"CAS(8,6)","CAS(8,6)",B_2,118.0,14.1264929393
"CAS(8,6)","CAS(8,6)",B_2,122.0,14.194652971000002
"CAS(8,6)","CAS(8,6)",B_2,126.0,14.240468648200002
"CAS(8,6)","CAS(8,6)",B_2,130.0,14.265002228199998
"CAS(8,6)","CAS(8,6)",B_2,134.0,14.2685782257
"CAS(8,6)","CAS(8,6)",B_2,138.0,14.2508632619
"CAS(8,6)","CAS(8,6)",B_2,142.0,14.2109613391
"CAS(8,6)","CAS(8,6)",B_2,146.0,14.147551274899998
"CAS(8,6)","CAS(8,6)",A_2,90.0,12.8184518682
"CAS(8,6)","CAS(8,6)",A_2,94.0,12.9296505155
"CAS(8,6)","CAS(8,6)",A_2,98.0,13.0236807972
"CAS(8,6)","CAS(8,6)",A_2,102.0,13.1020694681
"CAS(8,6)","CAS(8,6)",A_2,106.0,13.1664066723
"CAS(8,6)","CAS(8,6)",A_2,110.0,13.2182347055
"CAS(8,6)","CAS(8,6)",A_2,114.0,13.2589556487
"CAS(8,6)","CAS(8,6)",A_2,118.0,13.289768848
"CAS(8,6)","CAS(8,6)",A_2,122.0,13.3116374694
"CAS(8,6)","CAS(8,6)",A_2,126.0,13.3252766899
"CAS(8,6)","CAS(8,6)",A_2,130.0,13.331153698
"CAS(8,6)","CAS(8,6)",A_2,134.0,13.3294906158
"CAS(8,6)","CAS(8,6)",A_2,138.0,13.3202642378
"CAS(8,6)","CAS(8,6)",A_2,142.0,13.3032003591
"CAS(8,6)","CAS(8,6)",A_2,146.0,13.2777624399
"MR-GW(8,6)","MR-GW(8,6)",A_1,90.0,12.57
"MR-GW(8,6)","MR-GW(8,6)",A_1,94.0,12.57
"MR-GW(8,6)","MR-GW(8,6)",A_1,98.0,12.51
"MR-GW(8,6)","MR-GW(8,6)",A_1,102.0,12.42
"MR-GW(8,6)","MR-GW(8,6)",A_1,106.0,12.3
"MR-GW(8,6)","MR-GW(8,6)",A_1,110.0,12.16
"MR-GW(8,6)","MR-GW(8,6)",A_1,114.0,12.03
"MR-GW(8,6)","MR-GW(8,6)",A_1,118.0,11.88
"MR-GW(8,6)","MR-GW(8,6)",A_1,122.0,11.72
"MR-GW(8,6)","MR-GW(8,6)",A_1,126.0,11.54
"MR-GW(8,6)","MR-GW(8,6)",A_1,130.0,11.36
"MR-GW(8,6)","MR-GW(8,6)",A_1,134.0,11.17
"MR-GW(8,6)","MR-GW(8,6)",A_1,138.0,10.97
"MR-GW(8,6)","MR-GW(8,6)",A_1,142.0,10.75
"MR-GW(8,6)","MR-GW(8,6)",A_1,146.0,10.52
"MR-GW(8,6)","MR-GW(8,6)",B_2,90.0,10.81
"MR-GW(8,6)","MR-GW(8,6)",B_2,94.0,11.18
"MR-GW(8,6)","MR-GW(8,6)",B_2,98.0,11.48
"MR-GW(8,6)","MR-GW(8,6)",B_2,102.0,11.74
"MR-GW(8,6)","MR-GW(8,6)",B_2,106.0,11.94
"MR-GW(8,6)","MR-GW(8,6)",B_2,110.0,12.13
"MR-GW(8,6)","MR-GW(8,6)",B_2,114.0,12.25
"MR-GW(8,6)","MR-GW(8,6)",B_2,118.0,12.36
